,mean_abs_shap,dir_rho_mean,dir_sign_consistent,family
autocorr_60,0.0020003190729767084,0.5457472659138259,True,stats
kurt_60,0.0018075372790917754,-0.24606633507789696,False,stats
body_range_ma20,0.0017932994524016976,0.08024553671227935,False,candle
dist_high_20,0.001770863658748567,0.4562316943032015,True,volatility
upper_shadow_ma5,0.0017492597689852118,0.5796385497872533,True,candle
ev_amt_pctile250,0.001678071916103363,0.4007592489714816,True,event
macd_hist_12_26_9,0.0014504784485325217,0.41249997315798614,True,trend
lower_shadow_ma5,0.0014332449063658714,-0.7226309052650354,True,candle
stochrsi_14,0.0014301707269623876,0.2614218776423887,False,momentum
lower_shadow_ma20,0.0014089887263253331,0.36270071790564434,True,candle
aroon_dn_14,0.0013922638026997447,-0.7235332247840347,True,trend
mom_accel_5_20,0.0013111362932249904,-0.07290632922371687,False,momentum
ad_roc_10,0.0012990753166377544,-0.20690233012697068,True,volume
gap_ma5,0.0012268476421013474,0.584152433529817,True,candle
cs_rank_rsi_14,0.0010668531758710742,0.18881743782224,False,cross_section
cs_excess_roc_10,0.001060979557223618,0.22918832832241268,True,cross_section
mdi_28,0.0010240910341963172,-0.6057068129636128,True,trend
ret_lag_2,0.0009995613945648074,-0.4520113627034632,True,momentum
dist_low_20,0.0009545677457936108,-0.5351696546476913,True,volatility
ev_spike2_cnt20,0.0009517665021121502,-0.6659376727075412,True,event
cs_rank_roc_60,0.0009429921046830714,0.4655708423738167,True,cross_section
pdi_28,0.0009086103527806699,0.673913533922272,True,trend
autocorr_20,0.0008960775448940694,-0.5042312037286435,True,stats
close_pos_ma5,0.0008710699039511383,-0.46869340493641953,True,candle
gap_ma20,0.0008411885355599225,0.00320436873362188,False,candle
obv_slope_20,0.0008299248875118792,-0.40270192294416285,True,volume
vol_ratio_5_60,0.0008177479612641037,-0.3604767994534494,False,volatility
ev_days_since_limit_down,0.0007500862702727318,0.4762873259278901,False,event
psar_dist,0.0007018505712039769,0.18145944374528858,False,trend
mkt_roc_5,0.0006730169407092035,0.5103652674268848,True,cross_section
kurt_20,0.000670357549097389,-0.318182964026826,False,stats
ev_range_x_atr,0.0005755117745138705,-0.6508802955771928,True,event
ret_lag_9,0.0005082239513285458,0.6880441233435807,True,momentum
up_ratio_20,0.0005037678056396544,0.5038043771522243,True,momentum
aroon_up_14,0.00039291472057811916,-0.2802672683123773,False,trend
ev_new_high_20,0.00038163180579431355,0.5679752272451305,True,event
up_ratio_10,0.0003780770639423281,0.5702755177481384,True,momentum
vol_sma_ratio_5,0.000315213663270697,0.351910323774334,False,volume
cs_rank_vol_z_20,0.0003123762144241482,0.4458034813959046,True,cross_section
ret_lag_7,0.00027342012617737055,0.08570576937759133,False,momentum
ret_lag_8,0.000261458451859653,0.696270067103641,False,momentum
aroon_up_25,0.0002435891074128449,0.46666576161787793,True,trend
ret_lag_6,0.000233539889450185,0.010589368731360072,False,momentum
ret_lag_4,0.0002118527190759778,0.3968547965594858,False,momentum
ret_lag_10,0.00019301353313494474,0.6081090258908817,False,momentum
ret_lag_5,0.00019236277148593217,0.5064241104286755,False,momentum
up_ratio_5,0.00017834187019616365,-0.033320844955128215,False,momentum
ev_vol_dryup_cnt5,0.00015552272088825703,0.26231903066973056,False,event
ev_new_high_250,0.00015090372471604496,0.3339996781457042,True,event
ev_bigmove5_cnt20,0.00014803778321947902,0.09586194622860163,False,event
gap,0.00010031435522250831,0.6111353118941141,False,candle
ret_lag_3,7.92294813436456e-05,0.23832204469850787,False,momentum
ev_spike2_cnt5,7.595647184643894e-05,-0.6831577581506403,False,event
ev_up_streak_ge3,5.7551165809854865e-05,-0.5160620720812769,False,event
dow_3,3.7335918023018166e-05,0.7067403210075653,False,stats
ev_new_low_250,3.0639872420579195e-05,-0.22679217202448756,False,event
dow_2,2.8408036087057553e-05,0.7123800450060861,False,stats
ev_limit_down,0.0,,False,event
ev_gap_down_spike,0.0,,False,event
pv_diverge_20,0.0,,False,volume
dow_0,0.0,,False,stats
dow_1,0.0,,False,stats
ev_spike3,0.0,,False,event
ev_spike_down,0.0,,False,event
ev_spike_long_red,0.0,,False,event
ev_spike_long_black,0.0,,False,event
ev_gap_up_spike,0.0,,False,event
ev_limit_up,0.0,,False,event
ev_bigmove5,0.0,,False,event
ev_down_streak_ge3,0.0,,False,event
ev_breakdown_vol_60,0.0,,False,event
ev_breakout_vol_60,0.0,,False,event
ev_spike_ret,0.0,,False,event
ev_new_low_60,0.0,,False,event
ev_new_low_20,0.0,,False,event
ev_vol_dryup,0.0,,False,event
ev_touch_limit_up,0.0,,False,event
ev_spike2,0.0,,False,event
