feature,family,g95,g90,g80,g70,g60,g50
cci_60,momentum,138,122,88,73,59,44
cmo_14,momentum,94,88,70,61,54,43
ppo_12_26,momentum,135,120,88,73,59,44
tsi_25_13,momentum,136,120,88,73,59,44
uo_7_14_28,momentum,72,70,59,56,51,42
ao_5_34,momentum,135,120,88,73,59,44
ret_lag_1,momentum,50,48,42,40,38,32
ret_lag_2,momentum,43,41,36,35,33,27
ret_lag_3,momentum,146,128,91,74,60,45
ret_lag_4,momentum,147,129,92,75,61,46
ret_lag_5,momentum,148,130,93,76,62,47
ret_lag_6,momentum,181,156,115,90,74,56
ret_lag_7,momentum,182,157,116,91,75,57
ret_lag_8,momentum,183,158,117,92,76,58
ret_lag_9,momentum,184,159,118,93,77,59
ret_lag_10,momentum,185,160,119,94,78,60
up_ratio_5,momentum,88,84,68,60,53,43
up_ratio_10,momentum,86,82,66,59,53,43
up_ratio_20,momentum,116,104,77,65,56,44
up_ratio_60,momentum,67,65,55,53,48,41
up_ratio_120,momentum,68,66,56,53,48,41
mom_accel_5_20,momentum,126,114,83,70,59,44
atr_ratio_14,volatility,173,149,108,87,72,54
atr_ratio_28,volatility,173,149,108,87,72,54
ret_std_5,volatility,164,145,107,87,72,54
parkinson_5,volatility,172,149,108,87,72,54
gk_vol_5,volatility,172,149,108,87,72,54
ret_std_10,volatility,165,146,107,87,72,54
parkinson_10,volatility,171,149,108,87,72,54
gk_vol_10,volatility,171,149,108,87,72,54
ret_std_20,volatility,174,149,108,87,72,54
parkinson_20,volatility,173,149,108,87,72,54
gk_vol_20,volatility,173,149,108,87,72,54
ret_std_60,volatility,169,148,108,87,72,54
parkinson_60,volatility,169,148,108,87,72,54
gk_vol_60,volatility,169,148,108,87,72,54
ret_std_120,volatility,168,148,108,87,72,54
parkinson_120,volatility,168,148,108,87,72,54
gk_vol_120,volatility,168,148,108,87,72,54
bb_pctb_20,volatility,105,97,73,61,54,43
bb_bw_20,volatility,176,151,110,87,72,54
bb_pctb_60,volatility,138,122,88,73,59,44
bb_bw_60,volatility,175,150,109,87,72,54
keltner_pos_20_10,volatility,107,98,73,61,54,43
donchian_pos_5,volatility,80,76,63,58,52,43
donchian_pos_10,volatility,110,99,73,61,54,43
donchian_pos_20,volatility,104,96,73,61,54,43
donchian_pos_60,volatility,137,121,88,73,59,44
donchian_pos_120,volatility,145,127,90,73,59,44
dist_high_20,volatility,160,141,104,85,71,54
dist_low_20,volatility,120,108,80,67,57,44
dist_high_60,volatility,161,142,105,86,71,54
dist_low_60,volatility,118,106,79,66,57,44
dist_high_120,volatility,162,143,105,86,71,54
dist_low_120,volatility,119,107,79,66,57,44
mdd_20,volatility,158,140,103,85,71,54
mdd_60,volatility,163,144,106,86,71,54
vol_ratio_5_60,volatility,42,40,35,34,32,26
ulcer_14,volatility,159,140,103,85,71,54
vol_sma_ratio_5,volume,40,38,33,32,30,25
vol_sma_ratio_10,volume,38,36,32,31,30,25
vol_sma_ratio_20,volume,37,35,32,31,30,25
vol_sma_ratio_60,volume,34,33,31,31,30,25
vol_sma_ratio_120,volume,35,33,31,31,30,25
vol_z_20,volume,37,35,32,31,30,25
vol_z_60,volume,34,33,31,31,30,25
obv_slope_10,volume,87,83,67,59,53,43
obv_slope_20,volume,117,105,78,65,56,44
obv_slope_60,volume,69,67,57,54,49,41
cmf_20,volume,74,72,60,56,51,42
mfi_14,volume,96,90,70,61,54,43
ad_roc_10,volume,73,71,59,56,51,42
ad_roc_20,volume,74,72,60,56,51,42
force_13,volume,101,94,72,61,54,43
eom_14,volume,113,101,74,62,54,43
vwap_ratio_5,volume,79,75,63,58,52,43
vwap_ratio_20,volume,108,98,73,61,54,43
pvt_roc_10,volume,100,93,72,61,54,43
pvt_roc_20,volume,125,113,83,70,59,44
pv_corr_20,volume,61,59,51,49,44,38
pv_corr_60,volume,62,60,52,50,45,38
turnover_z_20,volume,37,35,32,31,30,25
turnover_z_60,volume,34,33,31,31,30,25
pv_diverge_20,volume,187,162,121,96,80,62
body_range,candle,48,46,41,40,38,32
upper_shadow,candle,14,13,13,13,13,11
lower_shadow,candle,11,10,10,10,10,9
close_pos,candle,49,47,41,40,38,32
gap,candle,155,137,100,82,68,51
range_ratio,candle,177,152,111,87,72,54
body_range_ma5,candle,70,68,58,55,50,42
body_range_ma20,candle,76,73,61,56,51,42
upper_shadow_ma5,candle,12,11,11,11,11,10
upper_shadow_ma20,candle,13,12,12,12,12,10
lower_shadow_ma5,candle,9,8,8,8,8,8
lower_shadow_ma20,candle,10,9,9,9,9,8
close_pos_ma5,candle,71,69,58,55,50,42
close_pos_ma20,candle,75,72,60,56,51,42
gap_ma5,candle,153,135,98,80,66,50
gap_ma20,candle,154,136,99,81,67,50
range_ratio_ma5,candle,172,149,108,87,72,54
range_ratio_ma20,candle,173,149,108,87,72,54
skew_20,stats,59,57,49,47,43,37
kurt_20,stats,5,5,5,5,5,5
autocorr_20,stats,149,131,94,77,63,48
ret_z_20,stats,50,48,42,40,38,32
skew_60,stats,63,61,53,51,46,39
kurt_60,stats,6,6,6,6,6,6
autocorr_60,stats,150,132,95,78,64,48
ret_z_60,stats,50,48,42,40,38,32
cumret_ex1_20,stats,124,112,83,70,59,44
cumret_ex1_60,stats,141,123,89,73,59,44
cumret_ex1_120,stats,65,63,54,52,47,40
updown_mag_ratio_20,stats,60,58,50,48,43,37
hurst_120,stats,180,155,114,89,73,55
dow_0,stats,4,4,4,4,4,4
dow_1,stats,1,1,1,1,1,1
dow_2,stats,2,2,2,2,2,2
dow_3,stats,3,3,3,3,3,3
ev_vol_x_avg20,event,37,35,32,31,30,25
ev_vol_vs_max20,event,39,37,32,31,30,25
ev_spike2,event,23,22,21,21,20,17
ev_spike3,event,21,20,19,19,18,15
ev_spike2_cnt5,event,28,27,26,26,25,21
ev_spike2_cnt20,event,29,28,27,27,26,22
ev_days_since_spike3,event,30,29,28,28,27,23
ev_spike_up,event,17,16,16,16,16,14
ev_spike_down,event,24,23,22,22,21,17
ev_spike_long_red,event,20,19,18,18,17,14
ev_spike_long_black,event,25,24,23,23,22,18
ev_spike_ret,event,18,17,16,16,16,14
ev_vol_pctile250,event,33,32,31,31,30,25
ev_amt_pctile250,event,33,32,31,31,30,25
ev_vol_dryup,event,31,30,29,29,28,24
ev_vol_dryup_cnt5,event,32,31,30,30,29,24
ev_limit_up,event,15,14,14,14,14,12
ev_limit_down,event,7,7,7,7,7,7
ev_limit_up_lock,event,15,14,14,14,14,12
ev_limit_down_lock,event,8,7,7,7,7,7
ev_limit_up_cnt20,event,157,139,102,84,70,53
ev_limit_down_cnt20,event,156,138,101,83,69,52
ev_days_since_limit_up,event,157,139,102,84,70,53
ev_days_since_limit_down,event,156,138,101,83,69,52
ev_touch_limit_up,event,186,161,120,95,79,61
ev_new_high_20,event,54,52,44,42,39,33
ev_new_low_20,event,56,54,46,44,41,35
ev_new_high_60,event,52,50,43,41,39,33
ev_new_low_60,event,57,55,47,45,41,35
ev_new_high_250,event,53,51,43,41,39,33
ev_new_low_250,event,58,56,48,46,42,36
ev_breakout_vol_60,event,19,18,17,17,16,14
ev_breakdown_vol_60,event,26,25,24,24,23,19
ev_streak,event,51,49,42,40,38,32
ev_up_streak_ge3,event,55,53,45,43,40,34
ev_down_streak_ge3,event,44,42,37,36,34,28
ev_bigmove5,event,16,15,15,15,15,13
ev_bigmove5_cnt20,event,178,153,112,87,72,54
ev_gap_up_spike,event,22,21,20,20,19,16
ev_gap_down_spike,event,27,26,25,25,24,20
ev_range_x_atr,event,41,39,34,33,31,25
cs_rank_roc_5,cross_section,77,74,62,57,52,43
cs_rank_roc_20,cross_section,127,115,84,70,59,44
cs_rank_roc_60,cross_section,129,117,85,71,59,44
cs_rank_roc_120,cross_section,64,62,54,52,47,40
cs_rank_ret_std_20,cross_section,166,147,108,87,72,54
cs_rank_ret_std_60,cross_section,167,147,108,87,72,54
cs_rank_vol_z_20,cross_section,36,34,32,31,30,25
cs_rank_turnover_z_20,cross_section,36,34,32,31,30,25
cs_rank_rsi_14,cross_section,128,116,84,70,59,44
cs_excess_roc_5,cross_section,77,74,62,57,52,43
cs_excess_roc_10,cross_section,114,102,75,63,54,43
cs_excess_roc_20,cross_section,127,115,84,70,59,44
cs_excess_roc_60,cross_section,129,117,85,71,59,44
cs_excess_roc_120,cross_section,64,62,54,52,47,40
mkt_roc_5,cross_section,47,45,40,39,37,31
mkt_roc_20,cross_section,45,43,38,37,35,29
mkt_roc_60,cross_section,46,44,39,38,36,30
cs_beta_60,cross_section,179,154,113,88,72,54
cs_idio_std_60,cross_section,170,148,108,87,72,54
cs_rank_excess_roc_20,cross_section,127,115,84,70,59,44
